t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status
11.900000,0.261990,0.923588,-0.001702,0.085501,0,0.000015,0.040340,0.071171,1.331157,6.336532,0.839922,0.057444,1.634301,-0.033089,0,21.583877,1,stable
12,0.123971,0.926469,-0.001034,0.085974,0,0.000016,0.036682,0.071586,1.339804,5.710296,0.788977,0.094397,1.634301,-0.029681,0,25.335021,1,stable
12.100000,-0.192392,0.928852,-0.001397,0.086341,0,0.000016,0.032776,0.071910,1.348743,8.012175,0.732143,0.082195,1.631929,-0.036575,0,23.434344,1,stable
12.200000,-0.108687,0.926365,-0.000670,0.086615,0,0.000016,0.027136,0.072152,1.356785,10.531735,0.803236,0.070773,1.631929,-0.039066,0,22.172919,1,stable
12.300000,0.000156,0.916137,-0.000853,0.086805,0,0.000016,0.020911,0.072321,1.363376,13.653559,0.751448,0.053861,1.631929,-0.056397,0,21.040357,1,stable
12.400000,-0.048293,0.899078,0.001297,0.086917,0,0.000017,0.013218,0.072420,1.367588,11.525616,0.751341,0.049924,1.631929,-0.062253,0,22.172919,1,stable
12.500000,-0.119113,0.880554,0.002165,0.086954,0,0.000017,0.004954,0.072453,1.369008,11.753074,0.757740,0.075853,1.631929,-0.076928,0,21.040357,1,stable
12.600000,-0.131249,0.868472,0.000981,0.086917,0,0.000015,0.004674,0.072420,1.367605,11.449268,0.754287,0.049524,1.629643,-0.082640,0,20.132880,1,stable
12.700000,-0.068488,0.869010,0.000182,0.086805,0,0.000015,0.012528,0.072321,1.363366,11.365511,0.728520,0.064112,1.629643,-0.002801,0,19.300446,1,stable
12.800000,0.022043,0.882722,-0.000335,0.086615,0,0.000015,0.019512,0.072152,1.356831,11.624207,0.721611,0.037223,1.629643,0.078540,0,18.913376,1,stable
12.900000,0.095634,0.904370,-0.000117,0.086341,0,0.000015,0.025307,0.071910,1.348729,11.580937,0.721557,0.013108,1.629643,0.069841,0,18.541527,1,stable
13,0.128319,0.926469,0.000347,0.085974,0,0.000016,0.029797,0.071586,1.339871,11.465623,0.718972,0.018905,1.629643,0.057952,0,18.333768,1,stable
