t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,effort_status
10.100000,0.060708,0.928852,0.000034,0.027755,0,0.000018,1.094582,0.022656,1.348771,0.846670,0.837517,0.010003,1.641088,-1.043288,0,14.996510,chronique
10.200000,0.077638,0.926365,0.000166,0.033070,0,0.000017,0.968346,0.027085,1.356823,0.712281,0.897786,0.012553,1.641088,-1.174304,0,14.345438,stable
10.300000,0.022631,0.916137,-0.000104,0.038710,0,0.000018,0.838636,0.031792,1.363284,0.756905,0.816322,0.013721,1.641088,-1.262363,0,14.061569,stable
10.400000,0.017889,0.899078,-0.000507,0.044470,0,0.000017,0.710920,0.036603,1.367452,1.131728,0.753402,0.020839,1.641088,-1.297096,0,13.963360,stable
10.500000,0.064964,0.880554,-0.000916,0.050136,0,0.000018,0.590275,0.041339,1.368896,0.975152,0.781758,0.026602,1.641088,-1.277170,0,13.866514,stable
10.600000,0.023609,0.868472,-0.000446,0.055514,0,0.000017,0.486314,0.045836,1.367476,1.139627,0.866258,0.019859,1.638840,-1.206444,0,13.421712,stable
10.700000,-0.080127,0.869010,0.000685,0.060459,0,0.000017,0.401109,0.049974,1.363303,1.226311,0.820896,0.032089,1.638840,-1.039611,0,13.004560,stable
10.800000,-0.163347,0.882722,0.000972,0.064882,0,0.000018,0.328720,0.053679,1.356836,1.490990,0.865534,0.019080,1.638840,-0.852050,0,12.715554,stable
10.900000,-0.191970,0.904370,0.000472,0.068749,0,0.000017,0.268090,0.056923,1.348782,1.359646,0.820171,0.013618,1.638840,-0.723895,0,24.626760,stable
11,-0.168141,0.926469,-0.000039,0.072069,0,0.000017,0.217684,0.059714,1.339969,1.509807,0.786814,0.028110,1.638840,-0.606300,0,27.561625,stable
11.100000,-0.104746,0.943205,-0.000159,0.074881,0,0.000017,0.175766,0.062085,1.331272,1.725582,0.733305,0.034248,1.636675,-0.504059,0,26.306885,stable
11.200000,-0.017365,0.952136,0.000128,0.077239,0,0.000018,0.140693,0.064079,1.323521,1.856404,0.679977,0.033249,1.636675,-0.419174,0,25.892042,stable
11.300000,0.067125,0.953688,0.000660,0.079201,0,0.000017,0.111082,0.065745,1.317434,1.896006,0.667452,0.029991,1.636675,-0.350737,0,25.490080,stable
11.400000,0.099774,0.949772,0.001232,0.080826,0,0.000017,0.085879,0.067131,1.313555,1.867374,0.693667,0.044955,1.636675,-0.296109,0,25.224957,stable
11.500000,0.028712,0.942661,0.001617,0.082167,0,0.000017,0.064361,0.068280,1.312215,1.980366,0.674257,0.063034,1.636675,-0.252031,0,24.965293,stable
11.600000,-0.096087,0.934548,0.001503,0.083269,0,0.000018,0.051489,0.069230,1.313498,2.669452,0.651089,0.055185,1.634301,-0.215172,0,24.640484,stable
