t,S(t),C(t),effort(t),mean_abs_error,fluidity,entropy_S,gamma,En_mean(t),On_mean(t)
12,0.693053,0.707388,0.005096,0.068544,0.988135,0.168347,0.400000,0.083091,0.055444
12.050000,0.638423,0.707388,0.005511,0.069313,0.988160,0.218247,0.400000,0.083422,0.051074
12.100000,0.584339,0.707388,0.005866,0.070194,0.988188,0.275975,0.400000,0.083382,0.046747
12.150000,0.532441,0.707388,0.006148,0.077676,0.988215,0.335558,0.400000,0.082995,0.042595
12.200000,0.484186,0.707388,0.006356,0.084492,0.988242,0.392030,0.400000,0.082291,0.038735
12.250000,0.440813,0.707388,0.006471,0.090488,0.988267,0.441220,0.400000,0.081310,0.035265
12.300000,0.403315,0.707388,0.006479,0.095511,0.988289,0.479762,0.400000,0.080098,0.032265
12.350000,0.372404,0.707388,0.006374,0.099415,0.988309,0.505361,0.400000,0.078703,0.029792
12.400000,0.348477,0.707388,0.006153,0.102063,0.988327,0.517284,0.400000,0.077178,0.027878
12.450000,0.331584,0.707388,0.005815,0.103329,0.988343,0.516923,0.400000,0.075575,0.026527
12.500000,0.321408,0.707388,0.005364,0.103109,0.988359,0.507976,0.400000,0.073942,0.025713
12.550000,0.317255,0.707388,0.004807,0.101742,0.988376,0.495348,0.400000,0.072325,0.025380
12.600000,0.318084,0.707388,0.004155,0.102839,0.988394,0.482326,0.400000,0.070762,0.025447
12.650000,0.322555,0.707388,0.003425,0.102832,0.988414,0.468095,0.400000,0.069283,0.025804
12.700000,0.329138,0.707388,0.002635,0.101863,0.988437,0.448728,0.400000,0.067906,0.026331
12.750000,0.336243,0.707388,0.002006,0.100102,0.988460,0.420603,0.400000,0.066641,0.026899
12.800000,0.342398,0.707388,0.002265,0.097729,0.988485,0.382930,0.400000,0.065485,0.027392
12.850000,0.346431,0.707388,0.002945,0.094913,0.988509,0.338204,0.400000,0.064427,0.027715
12.900000,0.347651,0.707388,0.003603,0.097696,0.988532,0.291089,0.400000,0.063448,0.027812
12.950000,0.345965,0.707388,0.004199,0.104964,0.988554,0.246684,0.400000,0.062525,0.027677
13,0.341921,0.707388,0.004689,0.111750,0.988576,0.209011,0.400000,0.061638,0.027354
13.050000,0.336600,0.707388,0.005025,0.117702,0.988598,0.180236,0.400000,0.060769,0.026928
13.100000,0.331387,0.707388,0.005164,0.122428,0.988620,0.160671,0.400000,0.059909,0.026511
13.150000,0.327627,0.707388,0.005080,0.125549,0.988643,0.149283,0.400000,0.059058,0.026210
13.200000,0.326252,0.707388,0.004774,0.126764,0.988666,0.144333,0.400000,0.058226,0.026100
