t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t)
9.500000,-0.000000,0.942661,-0.000004,0.007615,0,0.000020,1.574991,0.006019,1.312132,0.000005,0.909528,0.003927,1.645542,-0.243093,0,59.946862,1,chronique,0.003773,-0.000154,0.182426
9.600000,-0.000001,0.934548,0.000005,0.009591,0,0.000020,1.530342,0.007630,1.313467,0.000005,0.763317,0.003622,1.643431,-0.365599,0,60.250236,1,chronique,0.003572,-0.000050,0.231475
9.700000,-0.000004,0.927558,0.000022,0.012050,0,0.000019,1.475941,0.009645,1.317357,0.000005,0.737810,0.003675,1.643431,-0.446490,0,60.556696,1,chronique,0.003389,-0.000285,0.289050
9.800000,-0.000007,0.923592,0.000048,0.015063,0,0.000019,1.404716,0.012126,1.323460,0.000005,0.850399,0.005783,1.643431,-0.544009,0,60.250236,1,chronique,0.003197,-0.002586,0.354344
9.900000,-0.000006,0.923588,0.000072,0.018683,0,0.000019,1.316342,0.015119,1.331228,0.000005,0.854250,0.007273,1.643431,-0.712255,0,59.946862,1,chronique,0.002828,-0.004445,0.425557
10,0.000000,0.926469,0.000037,0.022926,0,0.000019,1.212013,0.018638,1.339943,0.000005,0.575347,0.003545,1.643431,-0.883744,0,59.314716,1,chronique,0.002327,0.000769,0.500000
10.100000,0.000017,0.928852,0.000034,0.027755,0,0.000020,1.094582,0.022656,1.348771,0.000005,0.649594,0.010163,1.641088,-1.043288,0,59.946862,1,chronique,0.002273,0.006975,0.574443
10.200000,0.000050,0.926365,0.000166,0.033070,0,0.000020,0.968346,0.027085,1.356823,0.000004,0.930090,0.011615,1.641088,-1.174304,0,59.314716,1,stable,0.002723,0.010026,0.645656
10.300000,0.000034,0.916137,-0.000104,0.038710,0,0.000020,0.838636,0.031792,1.363284,0.000004,0.945968,0.017045,1.641088,-1.262363,0,58.695762,1,stable,0.003398,0.003218,0.710950
10.400000,0.000038,0.899078,-0.000507,0.044470,0,0.000020,0.710920,0.036603,1.367452,0.000005,0.824305,0.014943,1.641088,-1.297096,0,57.926214,1,stable,0.003489,0.002750,0.768525
10.500000,0.000038,0.880554,-0.000916,0.050136,0,0.000020,0.590275,0.041339,1.368896,0.000004,0.762970,0.020836,1.641088,-1.277170,0,57.176584,1,stable,0.003537,0.010623,0.817574
10.600000,0.000036,0.868472,-0.000446,0.055514,0,0.000020,0.486314,0.045836,1.367476,0.000004,0.708023,0.019519,1.638840,-1.206444,0,56.298863,1,stable,0.004219,0.004052,0.858149
10.700000,-0.000042,0.869010,0.000685,0.060459,0,0.000020,0.401109,0.049974,1.363303,0.000004,0.664970,0.019150,1.638840,-1.039611,0,55.447682,1,stable,0.004336,-0.014277,0.890903
10.800000,-0.000250,0.882722,0.000972,0.064882,0,0.000024,0.328720,0.053679,1.356836,0.000005,0.846484,0.033955,1.638840,-0.852050,0,50.389134,1,stable,0.002964,-0.029952,0.916827
10.900000,-0.000525,0.904370,0.000472,0.068749,0,0.000034,0.268090,0.056923,1.348782,0.000006,0.945318,0.039595,1.638840,-0.723895,0,50.100125,1,stable,0.000393,-0.035976,0.937027
11,-0.000528,0.926469,-0.000039,0.072069,0,0.000020,0.217684,0.059714,1.339969,0.000006,0.916841,0.039397,1.638840,-0.606300,0,103.298572,1,stable,-0.002537,-0.032033,0.952574
11.100000,-0.000494,0.943205,-0.000159,0.074881,0,0.000020,0.175766,0.062085,1.331272,0.000009,0.809239,0.031367,1.636675,-0.504059,0,101.982981,1,stable,-0.005002,-0.020204,0.964429
11.200000,-0.000291,0.952136,0.000128,0.077239,0,0.000020,0.140693,0.064079,1.323521,0.000008,0.723871,0.041744,1.636675,-0.419174,0,97.426541,1,stable,-0.006386,-0.003381,0.973403
11.300000,0.000222,0.953688,0.000660,0.079201,0,0.000021,0.111082,0.065745,1.317434,0.000010,0.640376,0.048038,1.636675,-0.350737,0,93.259838,1,stable,-0.006341,0.013159,0.980160
11.400000,0.000242,0.949772,0.001232,0.080826,0,0.000019,0.085879,0.067131,1.313555,0.000016,0.740525,0.035774,1.636675,-0.296109,0,92.427233,1,stable,-0.004959,0.019660,0.985226
11.500000,-0.000001,0.942661,0.001617,0.082167,0,0.000019,0.064361,0.068280,1.312215,0.000019,0.726970,0.012950,1.636675,-0.252031,0,91.609363,1,stable,-0.003120,0.005679,0.989013
11.600000,-0.000180,0.934548,0.001503,0.083269,0,0.000019,0.051489,0.069230,1.313498,0.000023,0.727139,0.054146,1.634301,-0.215172,0,92.427233,1,stable,-0.002505,-0.019061,0.991837
11.700000,0.000350,0.927558,0.000496,0.084172,0,0.000019,0.046617,0.070011,1.317280,0.000021,0.755855,0.061182,1.634301,-0.128721,0,91.609363,1,stable,-0.003922,-0.008139,0.993940
11.800000,0.001242,0.923592,-0.001175,0.084907,0,0.000021,0.043308,0.070651,1.323352,0.000044,0.822861,0.047684,1.634301,-0.048722,0,90.598311,1,stable,-0.004384,0.041136,0.995504
11.900000,0.001450,0.923588,-0.001702,0.085501,0,0.000020,0.040340,0.071171,1.331157,0.000053,0.857230,0.072718,1.634301,-0.033089,0,210.928775,1,stable,-0.000837,0.052266,0.996665
12,0.000211,0.926469,-0.001034,0.085974,0,0.000024,0.036682,0.071586,1.339804,0.000057,0.789932,0.027296,1.634301,-0.029681,0,245.818510,1,stable,0.003433,0.023480,0.997527
12.100000,-0.000572,0.928852,-0.001397,0.086341,0,0.000025,0.032776,0.071910,1.348743,0.000181,0.757313,0.041431,1.631929,-0.036575,0,245.375553,1,stable,0.005161,-0.036270,0.998167
12.200000,-0.000220,0.926365,-0.000670,0.086615,0,0.000021,0.027136,0.072152,1.356785,0.000128,0.777902,0.032911,1.631929,-0.039066,0,237.464538,1,stable,0.001969,-0.021396,0.998641
12.300000,-0.000326,0.916137,-0.000853,0.086805,0,0.000019,0.020911,0.072321,1.363376,0.000187,0.759088,0.054611,1.631929,-0.056397,0,230.047700,1,stable,0.000139,0.002048,0.998993
12.400000,-0.000755,0.899078,0.001297,0.086917,0,0.000021,0.013218,0.072420,1.367588,0.000153,0.766466,0.052191,1.631929,-0.062253,0,222.870324,1,stable,0.000298,-0.011239,0.999254
12.500000,-0.000582,0.880554,0.002165,0.086954,0,0.000019,0.004954,0.072453,1.369008,0.000155,0.779676,0.055960,1.631929,-0.076928,0,216.127258,1,stable,-0.000626,-0.024046,0.999447
12.600000,-0.000393,0.868472,0.000981,0.086917,0,0.000019,0.004674,0.072420,1.367605,0.000158,0.738673,0.037995,1.629643,-0.082640,0,210.829511,1,stable,-0.002540,-0.028011,0.999590
12.700000,-0.000004,0.869010,0.000182,0.086805,0,0.000019,0.012528,0.072321,1.363366,0.000152,0.720297,0.010050,1.629643,-0.002801,0,205.785268,1,stable,-0.004679,-0.014345,0.999697
