t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t),gamma_regime,G_arch_used
7.900000,-0.028766,0.990647,-0.000107,0.133845,1,0.000128,0.082123,0.128873,1.337039,1.859602,0.992945,0.845710,0.021783,10.672239,0.179405,0,3.639440,0.708267,0.777833,stable,0.010950,0.021557,0.401316,0.401316,0.001000,0.128873,1.337039,0,0
8,-0.032889,0.991674,-0.000199,0.134123,2,0.000129,0.042066,0.129090,1.339961,1.826296,0.992951,0.846490,0.031945,10.672239,0.024952,0,3.809324,0.708254,0.776963,stable,0.012146,-0.003534,0.401053,0.401053,0.001000,0.129090,1.339961,0,0
8.100000,-0.058602,0.992522,0.000320,0.133643,4,0.000133,0.075985,0.128569,1.342761,1.789446,0.992959,0.861014,0.044079,10.180213,-0.400567,0,3.861316,0.708033,0.776115,stable,0.011253,-0.030582,0.400843,0.400843,0.001000,0.128569,1.342761,0,0
8.200000,-0.043481,0.992728,-0.000685,0.131410,4,0.000129,0.122711,0.126809,1.345387,1.813448,0.992954,0.856826,0.035003,10.180213,0.339182,0,3.747096,0.707827,0.775285,stable,0.008216,-0.017657,0.400674,0.400674,0.001000,0.126809,1.345387,0,0
8.300000,-0.075786,0.992063,-0.001074,0.132382,4,0.000129,0.103064,0.127714,1.347760,1.838908,0.992949,0.887259,0.048534,10.180213,0.467264,0,3.639440,0.707496,0.774472,stable,0.006377,-0.009280,0.400539,0.400539,0.001000,0.127714,1.347760,0,0
8.400000,-0.043375,0.990669,0.001229,0.131675,1,0.000128,0.068776,0.126949,1.349248,1.828456,0.992951,0.888725,0.036359,10.180213,-0.196476,0,3.626221,0.707438,0.773675,stable,0.005308,-0.026233,0.400431,0.400431,0.001000,0.126949,1.349248,0,0
8.500000,-0.022635,0.989045,0.002279,0.132764,2,0.000129,0.064831,0.127958,1.349526,1.892375,0.992938,0.871643,0.025172,10.180213,-0.342879,0,3.613098,0.707163,0.772896,stable,0.002920,-0.022252,0.400345,0.400345,0.001000,0.127958,1.349526,0,0
8.600000,-0.029655,0.987842,0.000441,0.133895,1,0.000132,0.053254,0.128903,1.348913,1.754864,0.992965,0.855526,0.025801,9.741812,-0.039445,0,3.626221,0.707267,0.772131,stable,0.000974,0.004951,0.400276,0.400276,0.001000,0.128903,1.348913,0,0
8.700000,-0.033496,0.987566,-0.000661,0.134157,4,0.000166,0.035423,0.129023,1.347562,1.774525,0.992962,0.874591,0.026977,9.741812,-0.115773,0,3.639440,0.706800,0.771386,stable,0.001325,0.021374,0.400221,0.400221,0.001000,0.129023,1.347562,0,0
8.800000,-0.029174,0.988351,-0.000324,0.134050,3,0.000133,0.037233,0.128985,1.345454,1.733298,0.992970,0.868845,0.030466,9.741812,-0.178304,0,3.713793,0.706595,0.770652,stable,0.002988,0.018730,0.400177,0.400177,0.001000,0.128985,1.345454,0,0
8.900000,-0.050211,0.989907,-0.000334,0.133997,2,0.000124,0.026092,0.128943,1.342763,1.716068,0.992973,0.880102,0.037035,9.741812,0.018092,0,3.791247,0.706329,0.769932,stable,0.004354,0.013108,0.400141,0.400141,0.001000,0.128943,1.342763,0,0
9,-0.019403,0.991674,-0.000950,0.132969,4,0.000123,0.068013,0.128060,1.339846,1.722276,0.992972,0.880588,0.024525,9.741812,-0.111411,0,3.713793,0.706287,0.769225,stable,0.005197,0.012719,0.400113,0.400113,0.001000,0.128060,1.339846,0,0
9.100000,-0.045752,0.993071,-0.001055,0.134123,4,0.000122,0.070925,0.129156,1.337016,1.788494,0.992959,0.856182,0.038084,9.347418,0.419219,0,3.791247,0.705655,0.768534,stable,0.005966,0.012029,0.400090,0.400090,0.001000,0.129156,1.337016,0,0
9.200000,-0.066894,0.993711,-0.000277,0.132967,1,0.000125,0.053344,0.128099,1.334480,1.772916,0.992962,0.857290,0.042891,9.347418,0.029118,0,3.713793,0.705684,0.767850,stable,0.006641,0.005282,0.400072,0.400072,0.001000,0.128099,1.334480,0,0
9.300000,-0.040269,0.993500,0.000573,0.132454,3,0.000122,0.031172,0.127573,1.332409,1.678750,0.992981,0.862743,0.031949,9.347418,-0.175811,0,3.639440,0.705866,0.767182,stable,0.006736,-0.002999,0.400058,0.400058,0.001000,0.127573,1.332409,0,0
9.400000,-0.054114,0.992622,0.000585,0.133361,1,0.000121,0.047339,0.128488,1.331014,1.772627,0.992962,0.857152,0.032180,9.347418,-0.221719,0,3.626221,0.705985,0.766530,stable,0.006157,0.000770,0.400046,0.400046,0.001000,0.128488,1.331014,0,0
